分类,状态量,状态描述,诊断分析,检修决策,报告名称
其它设备,nan,故障,"['1-2L低压电容器组在进行红外热成像检测时', '发现单体电容器引出线温度异常', '，拍下了清晰的红外图谱', '拍下了清晰的红外图谱', '，并将此情况上报宜昌运维分部。对红外图谱进行认真分析后发现35kV低压电抗器引线温度异常', '并将此情况上报宜昌运维分部对红外图谱进行认真分析后发现35kV低压电抗器引线温度异常', '表面最高温度达到110度', '根据《DL/T644-2008带电设备红外诊断技术应用导则》中的公式计算', '相对温差δT为81.5%', '温升90K依据电流致热型设备缺陷诊断判据', '判断热像特征是以线夹和接头为中心的热像', '热点明显；故障特征为接触不良；缺陷性质为严重缺陷', '500kV变电站中35kV电容器投运率较低', '投入电容器组时经常出现异常情况部分电容器线夹采用W型', '当线夹中导线大于两根时', '，导致过热', '']","('需停电处理', 'B类修检', ['直接用螺栓固定导线', '事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量。发现异常发热点'])",11-湖北-红外热像-35kV-电容器-引线过热
其它设备,本体,本体故障,"['试验人员通过红外测试仪发现110KV黑石子#1电容器本体B相套管顶部柱头并线压接不良的热像', '系电容器本体B相套管与铝排接触不良所致']","('需停电处理', 'B类修检', ['解决了隐性缺陷和安全隐患不能及时发现处理的弊端', '确保设备的各类缺陷及时发现、缺陷程度的准确评估、检修策略的准确性和可行性红外热成像检测技术能及时发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量运维人员需要熟练掌握测温工具的使用', '在发现问题是要及时报告并做好相关资料的记录。加强巡视工作'])",12-重庆-红外测温-xxxkV-电容器-套管顶部柱头并线压接不良
其它设备,瓷瓶,瓷瓶故障,"['红外检测时发现5198#刀闸C相支柱瓷瓶温度异常', '刀闸瓷瓶最上面的两片瓷裙存在温度异常的情况', '也有可能是内部缺陷所致在试验前先对瓷瓶进行常规检查', '但未见裂纹或其他异常情况对清洁后的瓷瓶进行耐压试验', '说明缺陷很有可能在瓷瓶内部因此有必要对瓷瓶绝缘进行分解测试', '说明了瓷瓶存在间歇性放电现象瓷瓶绝缘电阻分解测试时可以认为内部电阻和外部电阻并联的模型', '测试结果仅为R2、R3的并联电阻从耐压时的红外热像图也间接证实了缺陷来自瓷瓶内部', '采用切割机对瓷瓶进行纵向剖切', '其剖切断面如图6从剖切图可以看到在瓷瓶中心确实存在多条裂纹', '越靠近瓷瓶温度异常区域']","('不需停电处理', 'D类修检', ['通过排除法', '首先对瓷瓶进行了绝缘电阻测试通过对瓷瓶表面进行清洁、处理', '但也不能就此排除表面的原因。红外检测具有精度高', '同时对发现异常的设备及时处理分析'])",13-四川-红外热像-35kV-刀闸-支柱瓷瓶异常
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",14-浙江-红外测温-0.4kV-汇控柜-二次端子发热
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",15-浙江-红外测温-xxxkV-耦容-发热故障
其它设备,端子箱,端子箱故障,"['周围端子温度6℃220kV天乐4482线开关端子箱端子排在进行红外热成像检测时', '发现端子箱1D16母差电流回路B320温度分布异常随即对该端子进行了精确测温', '巡视至天乐4482线开关端子箱时']","('需停电处理', 'C类修检', ['检修人员经过仔细观察发热部位外观和发热特点', '造成严重后果检查换下的发热端子', '依靠螺丝压力维持连接状态。同时检修人员经过仔细观察发热部位外观及发热特点', '大量事实说明二次回路红外热成像检测技术能够行之有效的发现设备过热缺陷', '检修人员也应该定期对于二次设备进行专业红外测温', '能够有效指导开展针对性设备检修', '提高检修工作效率和质量红外热成像检测技术对室外开关端子箱电流回路设备的检测有较强的敏感度', '能够有效的发现在开关端子箱电流回路的安装、运行、检修过程中隐藏的缺陷红外热成像检测技术对人员的专业水平要求较高', '检测人员的综合素质必须高', '并能够对检测数据结合现场经验准确判断。在使用红外热成像检测技术的同时要充分利用其他设备的技术数据', '多种手段并用多角度、全方位进行排查'])",16-浙江-红外测温-xxxkV-开关端子箱-母差电流回路发热
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",17-浙江-红外测温-10kV-支柱绝缘子-裂痕
其它设备,nan,故障,"['红外热成像发现藕池A472线4#杆单刀过热危急缺陷', '发现A相单刀53.3度', '，C相29.83度', '，A', '，B相的相对温差值达到44%和57%', 'B相的相对温差值达到44%和57%', '并且发热点集中单刀刀闸关合部位根据检测结果', '，初步判定该单刀A、B或因相接触不良', '初步判定该单刀A、B或因相接触不良', '，导致单刀关合点过热引起红外测试温度异常', '导致单刀关合点过热引起红外测试温度异常', '根据《国家电网公司缺陷分类标准》', '该缺陷定级为危急缺陷调换下缺陷单刀如下图所示该单刀为GW6-12/630型单刀', '，该单刀刀闸关合部位放电灼烧现象明显', '该单刀刀闸关合部位放电灼烧现象明显', '，发现刀闸关合部位存在关合不严、松动明显的问题。该停电检查分析结果表明', '发现刀闸关合部位存在关合不严、松动明显的问题该停电检查分析结果表明', '单刀质量不过关、运行周期偏长导致关合部位松动', '引起接触点接触电阻过大', '通过电流较大时发热现象明显', '从而使得接合点温度异常', '该分析结果与带电检测分析结果一致检测用仪器', '2013年9月4日傍晚1830', '藕池A472线最大电流约190A左右', '运行人员对单刀进行红外热成像检测']","('需停电处理', 'B类修检', ['红外检测可以对发热类缺做到陷早发现早预防利用热成像手段对10KV设备连接部位进行带电检测'])",18-浙江-红外热像-10kV-单刀-过热危急缺陷
其它设备,nan,故障,"['2013年3月配电运检五班组组织对瓯海辖区内重压用户及重载线路进行红外精确检测热像特征', '，班组对为温州电视发射台和电力微波站供电的求安8310线进行全线红外测温求安8310线全线169基电杆', '班组对为温州电视发射台和电力微波站供电的求安8310线进行全线红外测温求安8310线全线169基电杆', '，主线导线类型为JKLYJ-185', '主线导线类型为JKLYJ-185', '于2009年8月20日投运', '全线负荷8170KVA11点10分', '在对求安8310线6#杆真空开关测温时', '仪器显示开关C相搭头发热246.46℃', '线路电流值为209A', '此开关厂家为浙江宏伟电气有限公司', '生产日期为2009年9月11日']","('需停电处理', 'B类修检', ['接头和线夹；。实时检测重载线路以及有重要用户的线路', '对有发生过搭头发热此类缺陷的线路要加强巡视力度'])",19-浙江-红外热像-10kV-真空开关-搭头发热
其它设备,接头,接头故障,['检测数据如表2所示b）发热接口位置c）B相外护套烧毁后情形其中隔离开关高压室侧C相接头处烧损最为严重'],"('需停电处理', 'C类修检', ['红外成像、紫外成像和超声波局部放电检测方法能有效地发现全绝缘管母局部存在发热、放电缺陷红外成像测温仪器能够精确检测出设备表面的温度', '建议此时加强此类设备的带电检测'])",2-新疆-紫外、红外成像和超声波局放检测-35kV-全绝缘管型母线-外绝缘局部击穿缺陷
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",20-浙江-红外热像-10kV-配变跌落式熔断器-触头发热
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",21-江苏-红外热像-500kV-合成绝缘子-端部发热
其它设备,绝缘子,绝缘子故障,"['红外诊断发现套管绝缘子热区明亮', '进行红外诊断预警几个月雨雾中绝缘子放电发热数据详细', '求证了污秽绝缘子闪络的极限温度', '单元绝缘子污秽闪络周期填补了《带电设备红外诊断应用规范》DL／T664-2008电压致热型设备缺陷诊断判据有关瓷绝缘子""温差""缺陷标准的空白污秽绝缘子表面温度12.4℃', '污秽绝缘子表面""温差""、热区即行消失', '运行恢复正常又因为穿墙套管处于三楼高空无法进行带电清扫见图1-2大雾瓷绝缘子污秽红外热像图1-1瓷绝缘子运行可见光照片套管绝缘子沿面放电发展情况如图1-4.见图1-3小雨瓷绝缘子污秽红外热像图1-4套管绝缘子放电示意图因为这次是通过楼体窗户近距离拍摄红外热像', '在高空临近俯拍的绝缘子红外热像更接近实际发热温度', '图谱细节更清晰因为距离因素相对于在地面远距离仰拍的红外热像38.6℃远距离仰拍污秽绝缘子红外热像温度显示相差7.7℃', '清晰度及放大率差图1-5近距离俯拍污秽绝缘子红外热像图1-6近距离俯拍正常绝缘子红外热像图1-7污秽绝缘子可见光照片图1-8喷涂正常绝缘子可见光照片图1-9远距离仰拍污秽绝缘子红外热像图1-10周围环境污染严重可见光照片据此向值班调度员和运维检修部领导发出绝缘子严重状态的预警出现雨雾天气异常运行状态', '进行绝缘子污秽状态红外检测预警见图1-11绝缘子表面污秽状态监测预警功能模块简图状态量数据状态评价结果检测预警见图1-11绝缘子表面污秽状态监测预警功能模块简图建立变电站绝缘子污闪周期与绝缘子污秽状态判别标准依据污区图与红外热像数据进行污闪事故周期界定根据现有红外热像检测污秽绝缘子的效率', '污秽绝缘子事故周期安照""状态评估""数据', '输变电设备瓷质绝缘子防污闪事故的有效预防期为5年如果忽略拍摄高空绝缘子与近距离拍摄绝缘子的""温差""数据差别的存在', '将直接给高空污秽绝缘子表面温度的监督的真实性带来不良影响', '雨雾中红外诊断发现110kV组合电器SF6充气穿墙套管绝缘子污秽运行异常']","('不需停电处理', 'D类修检', ['暂时不能停电检修', '各级值班调度员应使绝缘子在低值电压下运行；并应防止各类过电压对绝缘子的不利影响。红外热像反映的绝缘子表面温度值达到1.5K；5K', '红外诊断人员在实际工作中无法执行绝缘子的缺陷界定采用光学设备增加雨雾天气室外穿墙套管的特殊巡视。红外热像快捷、准确、可视的方式'])",22-河南-红外诊断-110kV-穿墙套管瓷绝缘子-污秽
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",23-浙江-接地导通测试-35kV-主变-中性点接地扁铁腐蚀
其它设备,绝缘子,绝缘子故障,"['悬式绝缘子带电测零检测标准电压分布图', '正常的瓷绝缘子串电压分布是不对称的马鞍形', '即在绝缘子串的两端部温度偏高', '温度是连续分布相邻绝缘子间温差极小', '一般不超过1K图6悬式绝缘子带电测零检测标准电压分布图当绝缘子的绝缘性能劣化后', '称为""零值绝缘子""对于低值和零值绝缘子', '绝缘子串的电压分布将发生变化', '其发热规律也有相应改变从图7中我们可以看到这一串绝缘子的温度场未连续分布', '而且明显看到是以第15片绝缘子钢帽为发热中心的热像图', '比其他正常绝缘子温度高这是因为低值绝缘子内部钢帽及钢脚之间穿透性泄漏电流增大或介损增大所致', '绝缘子呈现以钢帽为中心温升偏高', '判定该绝缘子为低值绝缘子执行DL/T664--2008标准', '附录B电压制热型设备缺陷诊断判据中低值绝缘子判据', '判定该绝缘子为严重缺陷', '220kV绝缘子串片数为13时', '最大允许5片零值绝缘子']","('需停电处理', 'B类修检', ['我们基本排除了厂家制造质量不良', '运输与安装过程造成的损伤；以及主网内发生短路故障', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量'])",24-山西-红外热像-220kV-悬式绝缘子-过热
其它设备,触头,触头故障,"['判断热像特征是以跌落保险上下触头为中心的热像', '故障特征为跌落保险上下触头接触不良', '跌落保险上下触头压力降低', '导致跌落保险上下触头发热']","('不需停电处理', 'D类修检', [])",25-山西-红外热像-10kV-公变高压跌落保险-发热
其它设备,绝缘子,绝缘子故障,"['在红外诊断过程中发现220kV225断路器上方悬式绝缘子B相下数第一片铁帽温度异常', '致热原因为致热原因为绝缘子劣化、受潮', '绝缘电阻降低,执行DL/T664-2008标准,表B.1电压致热型设备缺陷诊断判据,低值绝缘子故障温差为1K', '定性为电压致热型的一般缺陷零值绝缘子', '热象特征比正常绝缘子成暗色调', '就是相邻的绝缘子温差很小', '比正常绝缘子的温度略高通过白天现场观察', '发现该绝缘子有明显的劣化安排检修人员对45片绝缘子进行带电测零', '其中检测发现一片低值绝缘子', '以下附有各串绝缘子电压分布曲线的实测值与国标对比表送电后24小时对瓷瓶进行了红外复测', '220kV悬式绝缘子为大连电瓷集团股分有限公司XWP-10型产品', '2000年5月10日投运发现220kV225断路器上方悬式绝缘子B相第15片低值']","('不需停电处理', 'D类修检', ['对及时发现、处理、预防重大事故的发生可以起到重大作用', '具有远距离、不停电、不接触、不解体等特点,是电力系统主要的高压带电设备故障检测手段在电力系统得到了广泛应用', '具有良好的检测诊断效果在国家电网公司发布的""输变电设备状态检修试验规程""中,列为电网设备的例行试验主要项目内容', '在电力设备安全运行中起着至关重要的作用所以电气设备的红外热成像检查', '在很多方面可以代替传统的预防性维修工作及时发现设备的缺陷和异常情况', '为设备检修提供依据', '为开展状态检修创造条件', '能够准确发现和处理一些容易忽略的设备缺陷2、运用红外成像技术可以直观、高效地检查出设备内部发热', '这是传统的检测单点温度的测温仪做不到的。应用多种检测手段综合判断设备性能'])",26-山西-红外热像-220kV-悬式绝缘子-发热
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",27-北京-特高频法-10kV-开关柜-合成支瓶对母排悬浮放电
其它设备,绝缘子,绝缘子故障,"['第二天上午申请停电后对该串逐个绝缘子进行了耐压试验和绝缘试验', '发现有5片绝缘子低值', '经分析后认为是由于绝缘子运行时间长', '随即对该串绝缘子进行了更换对110千伏晋清线进行红外热成像检测时', '发现2号塔绝缘子温度异常', '所示对图谱认真分析发现发热绝缘子的温度分别为1.3℃、1.3℃、1.1℃、0.9℃、0.4℃', '正常绝缘子的温度为-1.9℃左右', '发热绝缘子与正常绝缘子的温度相差1K时', '可以判断为严重缺陷通过对换回的五只绝缘子进行绝缘电阻测试得知', '这5片故障绝缘子的阻值分别为', '证实为低值绝缘子绝缘子缺陷属于电压致热性缺陷', '正确判断绝缘子的状态需要正确使用红外成像仪', '并选择适合的运行条件和时机进行红外诊断输电线路绝缘子执行每年两次的红外诊断周期', '绝缘子为9片瓷质防污绝缘子']","('需停电处理', 'B类修检', ['具有远离被检测设备', '是输电线路绝缘子状态检测的重要手段'])",28-山西-红外热像-110kV-低值绝缘子-温度异常
其它设备,瓷瓶,瓷瓶故障,"['隔离开关瓷瓶中间两片瓷裙存在温度异常的情况', '也有可能是内部缺陷所致在对瓷瓶进行测试前', '发现瓷瓶表面稍有脏污但未见裂纹或其他异常情况采用数字兆欧表对其进行绝缘电阻测试', '结果瓷瓶绝缘电阻无穷大', '瓷瓶中间瓷裙处横向断裂耐压时瓷瓶裂缝内部气隙在高压下击穿放电', '导致瓷瓶内部温度升高', '尤其是瓷瓶中部气隙越多的地方放电越强烈升温越高', '对开关本体及瓷瓶多次进行红外检测']","('不需停电处理', 'D类修检', ['并更换了新隔离开关', '说明表面绝缘正常；通过绝缘耐压试验过程中的红外热像检测以及最后的瓷瓶断裂', '同时必须持续关注；利用红外热成像检测技术来检测设备电压致热型缺陷'])",29-山西-红外热像-10kV-线杆电缆刀闸瓷瓶-裂纹缺陷
其它设备,nan,故障,"['，发现接地装置埋深正常', '发现接地装置埋深正常', '但接地装置出现锈蚀通过比较2009-2011年接地电阻数据', '故最终确定接地电阻值出现异常的原因为接地装置出现锈蚀输电线路的雷击跳闸率与输电线路杆塔接地电阻密切相关输电线路杆塔接地电阻偏高的地段', '往往是地形复杂、交通不便', '土壤电阻率较高的地段输电线路和杆塔接地电阻偏高的原因是多方面的', '仔细归纳起来有以下几个方面的原因', '接地电阻超标的杆塔所处地段的土壤电阻率大都在2500Ω.m以上', '有的地段甚至高达8000Ω.m～10000Ω.m', '，兴安供电公司运维检修部输电运检室对66千伏北南联络线路5号-20号水泥杆进行接地电阻测试抽测时发现其接地电阻阻值过高,见下。表d．杆塔接地引下线接地极被盗或受外力破坏', '兴安供电公司运维检修部输电运检室对66千伏北南联络线路5号-20号水泥杆进行接地电阻测试抽测时发现其接地电阻阻值过高,见下表d．杆塔接地引下线接地极被盗或受外力破坏']","('需停电处理', 'B类修检', ['经检测人员分析', '检测人员通过排查', '是导致接地装置在土壤中被腐蚀的重要原因对不合格的接地体、土壤进行更换'])",3-蒙东-接地电阻测试-66kV-水泥杆-接地装置出现锈蚀
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",30-江西-红外热像-220kV-110kV-悬式绝缘子劣化缺陷
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",31-山西-红外热像-xxkV-分线箱-二次端子发热
其它设备,nan,故障,"['根据《带电设备红外诊断应用规范》规定', '该设备已达到危急缺陷', '应立即消缺或退出运行', '220kV仙桥变金仙2Q19线耦合电容器是由无锡华能电力电容器公司生产', '于2007年10月16日投运']","('需停电处理', 'B类修检', ['加强基建、检修过程中对设备的外观检查；。定期运用远红外测温技术手段对变电站一次设备进行红外测温'])",32-浙江-红外测温-220kV-耦容-末屏螺栓断裂
其它设备,泄漏电流,泄漏电流故障,"['但电磁单元相对同类型、同厂家设备温度偏低表1同类型、同厂家、同容量设备泄漏电流对比表随即对其进行停电试验', '电压值在80V至180V之间波动使用钳形电流表检测分压电容单元末屏泄漏电流相对同类型、同容量设备偏大24%~33%']","('需停电处理', 'B类修检', ['部分区域已溶解至紧固螺栓处', '在今后的订货中不采用二次端子暴露在空气中或无取油阀的PT。对已存在以上结构的PT应加强日常检修过程中的二次绝缘测试工作及进行防腐防渗水处理'])",33-福建-CVT在线监测-220kV-CVT-泄漏电流及电容量报警
其它设备,电机,电机故障,"['北京十三陵蓄能电厂在利用便携式局放测试仪对运行的3号发电机进行测试', '发现该发电机定子绕组正放电随负荷增长变化明显', '由此推断3号发电机定子绕组线棒存在松动迹象经检修处理后在线测局放试结果稳定', '但正放电幅值不断增加发电机工作时']","('需停电处理', 'B类修检', [])",34-新源控股-局放在线监测-13.8kV-发电机-定子绕组线棒松动
其它设备,套管,套管故障,"['红外热像诊断发现电容器套管柱头内部接触不良A相套管接线座区域最高温度96.9℃', 'B相套管接线座区域最高温度14.1℃', 'C相套管接线座区域最高温度96.6℃图12号电容器套管三相红外图谱图22号电容器套管可见光照片从红外图谱看到,发热中心部位在A相、C相套管接线座下部,排除了接线座端部与母排连接处发热的可能性', '初步判断该缺陷是套管内部连接不良引起的电流致热型缺陷从图3可以看到', 'A相套管接线座区域最高温度96.9℃', 'B相套管接线座区域最高温度14.1℃', 'C相套管接线座区域最高温度96.6℃', 'A相和C相套管接线座区域最高温度远高于B相同等部位的最高温度', 'A相和C相套管接线座区域最高温度均超过80℃', '根据DL/T664-2008《带电设备红外诊断应用规范》表A.1电流致热型设备缺陷诊断判据中套管设备电流致热型缺陷诊断依据', '确定该缺陷为危急缺陷同时对其余套管进行了解体检查', '排除了套管柱头与铝排连接处发热的安全隐患', 'A、B、C三相套管接线座区域最高温度分别为6.7℃、5.0℃、4.5℃', '未发现该电容器套管的红外图谱存在异常该集合式电容器套管端部电气连接由接线座、导电杆、锁紧螺母等部件组成发现A相、C相导电杆锁紧螺母松动']","('需停电处理', 'B类修检', ['由锁紧螺母紧固', '保证导电杆与接线座的接触压力。结合同类设备检修经验', '红外诊断作为一种成熟的状态检测技术', '带电检测人员应进一步加强理论学习和技能培训', '加强带电设备的红外成像诊断工作', '提前发现电气设备的发热缺陷并及时处理', '提出更具针对性的处理意见针对同类设备所具有的共同缺陷', '可提前进行检查处理', '提前发现电气设备的发热缺陷并及时处理'])",35-山西-红外热像-10kV-电容器-套管柱头内部接触不良
其它设备,绝缘子,绝缘子故障,"['采用爬波和小角度纵波相结合的方式进行检测按Q/GDW407-2010《高压支柱瓷绝缘现场检测导则》进行图1220kV旁路母线支柱瓷绝缘子图2瓷绝缘子超声波检测中图3紫外光电检测发现局部放电图4超声波检测发现缺陷信号图5拆卸后断裂的支柱绝缘子a图6拆卸后断裂的支柱瓷绝缘子b3.1紫外光电检测为非接触远距离在线检测', '共发现带缺陷绝缘子12只', '其中3处为绝缘子上端与铸铁法兰结合部位的贯穿性裂纹', '拆卸后此3只绝缘子已断裂']","('需停电处理', 'B类修检', ['3.3紫外光电检测由于是对表面局部放电发出的紫外线进行检测', '并非一定是由瓷件缺陷引起；超声波检测是对瓷件内部及表面缺陷的直接检测', '电厂进行更换处理', '及时消除了绝缘子的故障隐患3.2紫外光电检测工艺简便', '检测人员无需进行特殊的培训', '便可掌握；超声波检测工艺相对复杂', '缺陷的判别有赖于检测人员的技术和经验', '检测人员需经专门的培训考核合格后方可进行检测因此', '紫外光电检测发现的缺陷一般需经超声波复核。3.4紫外光电检测一般只能对靠近母线的部位进行检测', '因而难以检出；超声波检测不存在此问题', '对所有检测点具有相同的检出灵敏度'])",36-浙江-紫外光电及超声波检测-220kV-支柱瓷绝缘子-断裂
其它设备,支柱绝缘子,支柱绝缘子故障,"['阻波器支柱绝缘子上端有电晕放电2012年4月对5405/5406线出线场避雷器、CVT、出线套管、阻波器和支柱绝缘子进行了紫外电晕放电检测后结合设备停电检修', '在检测过程中发现5405/5406出线场阻波器、支柱绝缘子上端有电晕放电', '5406线路阻波器B相光子数5626/min5405/5406线出线场避雷器、CVT、出线套管、阻波器和支柱绝缘子在进行紫外电晕放电检测时', '发现5405/5406出线场阻波器、支柱绝缘子上端有电晕放电图1-3螺杆上端的屏蔽螺母图1-4螺杆下端的屏蔽螺母']","('不需停电处理', 'D类修检', ['经分析后认为是阻波器支柱绝缘子上端的四个固定螺栓没有任何防晕措施', '螺杆的螺牙等尖端部位在高电场下电晕放电。对图谱的认真分析后发现阻波器、支柱绝缘子上端有放电的位置有四颗固定螺杆', '大量事实说明紫外带电检测能够有效地发现电气设备表面的电晕放电缺陷', '除了例行周期性紫外带电检测以外', '适当增加单机单线、重要出线场设备停电前的紫外带电检测工作', '能够有效指导设备检修', '提高检修工作效率和质量电气设备导电接触面涂薄层凡士林', '避免接触面接触不良导致电晕放电对已发现处理的电晕放电缺陷', '结合停电及时检查同期同类设备。以上对设备检修工艺和质量提出了更高的要求', '保证检修质量', '而且在设备检修过程中对设备的处理将更具针对性'])",37-新源控股-紫外检测-500kV-阻波器支柱绝缘子-上端电晕放
其它设备,绝缘子,绝缘子故障,"['采取晴天日落后1小时、清晨日照前及阴天和雨天雨后0.5小时无日照时进行测温工作该绝缘子损坏严重', '十四伞以上无破损对该支绝缘子纵向解剖', '第十伞以上无粉化现象十三与十四伞之间的穿孔已贯穿护套此次红外测温测出的缺陷绝缘子与以前直升机红外测温测得的缺陷绝缘子为同一厂家产品', '初步判定与复合绝缘子均压环设计、护套材料等关系较大', '该批绝缘子存在家族性缺陷', '500千伏陵滨线发生复合绝缘子断串事故', '断裂复合绝缘子为保定厂产品9月6日开始分两组对该线路进行红外测温', '对500kV华陵线#7塔复合绝缘子进行红外测温时', '发现C相绝缘子温升异常']","('需停电处理', 'B类修检', ['通过红外测温可以有效的检测出缺陷复合绝缘子'])",38-山东-红外热像检测发现500kV复合绝缘子过热
其它设备,线夹,线夹故障,"['阻波器A、B、C三相两端的导线线夹红外图谱记录如为了进一步提高测温准确性', '对发热线夹进行了平行位测温', '发现线夹发热温度仍然为90℃左右', '阻波器与导线线夹的压接螺栓并未出现松动']","('不需停电处理', 'D类修检', ['造成接触不良此次发热是由于设备安装时', '大量事实说明红外热成像检测技术能够有效的发现设备过热缺陷', '检修时一般很难进行检查、维护'])",39-山东-红外热像检测发现220kV阻波器接头过热
其它设备,套管,套管故障,"['热像图分析配电变压器台低压多功能计量箱空开引出母线与穿箱套管连接处发热', '可见光照片可见母线与套管连接处有发热亮点']","('需停电处理', 'C类修检', ['0.4kV配网线路及设备不在配网状态检修的评价范围内', '但在例行红外检测时', '及时安排处理防止突然停电事故', '应将0.4kV配网设备纳入例行红外检测范围'])",4-吉林-红外检测-0.4kV-多功能箱-引线连接处发热
其它设备,nan,故障,[],"('需停电处理', 'B类修检', [])",40-山东-红外热像检测发现220kV岳圣线73#、74+1#耐张线夹压接管发热
其它设备,连接排,连接排故障,['冀北电力检修分公司唐山东变电站3号500kV主变压器及以下66kV系统于2012年投入运行631电容器组B相26号电容器北侧水平连接排与垂直连接排连接处发热74.2度'],"('不需停电处理', 'D类修检', ['分析认为深层次原因是施工人员很难掌控哈佛线夹的紧固力度', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量'])",41-冀北-红外热像检测发现66kV电容器连接排过热缺陷
其它设备,nan,故障,"['在对丰万二线进行红外检测时', '发现丰万二线串补电容器组B相温度异常', '于是对该串补进行了精确测温', '选择成像的角度、色度', '，如图上图所示', '，并将此情况上报生产办公室对图谱的认真分析后发现丰万二线串补电容器组B相一只电容器接头温度异常', '并将此情况上报生产办公室对图谱的认真分析后发现丰万二线串补电容器组B相一只电容器接头温度异常', '最高点温度为92.6度℃', '，正常相25.6℃,环境温度14.6。依据电流致热型设备缺陷诊断判据', '正常相25.6℃,环境温度14.6依据电流致热型设备缺陷诊断判据', '判断热像特征是以线夹和接头为中心的热像', '从红外检测图像可以看到明显的发热点；故障特征为接触不良；缺陷性质为严重缺陷']","('需停电处理', 'B类修检', ['发热原因为引线接头螺栓紧固不够'])",42-冀北-红外热像测温发现500kV串补电容器过热缺陷
其它设备,nan,故障,"['随后的监测发现温度正常', '，']","('需停电处理', 'B类修检', ['迎峰度夏、保电等特殊期间对加强红外热像测温工作。检修时', '应加强检修质量'])",43-冀北-红外热像测温发现10kV电容器接头过热缺陷1
其它设备,nan,故障,"['随后的监测发现温度正常', '，']","('需停电处理', 'B类修检', ['迎峰度夏、保电等特殊期间对加强红外热像测温工作。检修时', '应加强检修质量'])",44-冀北-红外热像测温发现10kV电容器接头过热缺陷2
其它设备,套管,红外测温异常,"['检修人员在对该站串补电容器开展红外测温过程中', '确认发热原因为电容器套管接头过热根据发热设备及状态', '符合套管柱头的相关判断标准']","('需停电处理', 'B类修检', ['严格按照《状态检修试验规程》要求', '同时在夏季大负荷期间增加检测频率', '并适当的加装变焦镜头'])",45-冀北-红外热像测温发现500kV串补电容器套管发热缺陷
其它设备,nan,故障,"['该电容器组为无锡电力电容器有限公司产品', '放电点多出现在连接头的四个角']","('需停电处理', 'B类修检', ['分析认为深层次原因是施工人员很难掌控哈佛线夹的紧固力度', '本缺陷是通过红外热像检测的方法发现的', '现场检查设备外观正常', '从红外检测图像可以看到明显的发热点。大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量'])",46-冀北-红外热像检测发现35kV电容器连接排过热缺陷
其它设备,螺栓,螺栓故障,['软连接与母排接触面采用螺栓连接'],"('不需停电处理', 'D类修检', ['停电检修', '分析认为深层次原因是施工人员很难掌控哈佛线夹的紧固力度', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量'])",47-冀北-红外热像检测发现35kV电容器连接排过热缺陷
其它设备,螺栓,螺栓故障,['软连接与母排接触面采用螺栓连接'],"('不需停电处理', 'D类修检', ['停电检修', '分析认为深层次原因是施工人员很难掌控哈佛线夹的紧固力度', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量'])",48-冀北-红外热像检测发现35kV电容器连接排过热缺陷
其它设备,螺栓,螺栓故障,['软连接与母排接触面采用螺栓连接'],"('不需停电处理', 'D类修检', ['停电检修', '分析认为深层次原因是施工人员很难掌控哈佛线夹的紧固力度', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量'])",49-冀北-红外热像检测发现35kV电容器连接排过热缺陷
